ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
84,1988,BAL,7,550,789,161,54,1275,504,,5358,,137,199,20,13532075,0.237961926092,0.303480040942,0.359275849197
85,1988,OAK,1,800,620,162,104,1474,580,,5602,,156,251,22,9690000,0.263120314174,0.332254933678,0.399321670832
86,1988,MIN,2,759,672,162,91,1508,528,,5510,,151,294,31,12462666,0.273684210526,0.337197747599,0.420508166969
87,1988,KCA,3,704,648,161,84,1419,486,,5469,,121,275,40,14556562,0.259462424575,0.319899244332,0.390747851527
88,1988,CAL,4,714,771,162,75,1458,469,,5582,,124,258,31,11947388,0.26119670369,0.318459758718,0.385166606951
89,1988,CHA,5,631,757,161,71,1327,446,,5449,,132,224,35,6390000,0.243530923105,0.300763358779,0.370159662323
90,1988,TEX,6,637,735,161,70,1378,542,,5479,,112,227,39,5342131,0.251505749224,0.318883906328,0.368497901077
91,1988,SEA,7,664,744,161,68,1397,461,,5436,,148,271,27,7342450,0.256990434143,0.315075462099,0.398454746137
92,1988,NYN,1,703,532,160,100,1387,544,,5408,,152,251,24,15269314,0.256471893491,0.324428763441,0.396079881657
93,1988,PIT,2,651,616,160,85,1327,553,,5379,,110,240,45,5998500,0.246700130136,0.316925151719,0.369399516639
94,1988,MON,3,628,592,163,81,1400,454,,5573,,107,260,48,9603333,0.251211196842,0.307615729219,0.372689754172
95,1988,CHN,4,660,694,163,77,1481,403,,5675,,113,262,46,13119198,0.260969162996,0.309970384995,0.383083700441
96,1988,SLN,5,578,633,162,76,1373,484,,5518,,71,207,33,12880000,0.24882203697,0.309396867711,0.336897426604
97,1988,PHI,6,597,734,162,65,1294,489,,5403,,106,246,31,13838000,0.239496575976,0.30261371351,0.35535813437
98,1988,LAN,1,628,544,162,94,1346,437,,5431,,99,217,25,16850515,0.2478364942,0.30385139741,0.351684772602
99,1988,CIN,2,641,596,161,87,1334,479,,5426,,122,246,25,8888409,0.245853298931,0.307027942422,0.36785845927
100,1988,SDN,3,594,583,161,83,1325,494,,5366,,94,205,35,9561002,0.246925083861,0.310409556314,0.35072679836
101,1988,SFN,4,670,626,162,83,1353,550,,5450,,113,227,44,12380000,0.248256880734,0.317166666667,0.368256880734
102,1988,HOU,5,617,631,162,82,1338,474,,5494,,96,239,31,12286167,0.243538405533,0.303619302949,0.350746268657
103,1988,ATL,6,555,741,160,54,1319,432,,5440,,96,228,28,12728174,0.242463235294,0.298194822888,0.347610294118
104,1989,TOR,1,731,651,162,89,1449,521,,5581,,142,265,40,16261666,0.259630890521,0.322844968863,0.397778175954
105,1989,BAL,2,708,686,162,87,1369,593,,5440,,129,238,33,8275167,0.251654411765,0.325211337643,0.378676470588
106,1989,BOS,3,774,735,162,83,1571,643,,5666,,108,326,30,17481748,0.277267913872,0.35092724679,0.402576773738
107,1989,ML4,4,707,679,162,81,1415,455,,5473,,126,235,32,11533000,0.258541933126,0.315452091768,0.382240087703
108,1989,NYA,5,698,792,161,74,1470,502,,5458,,130,229,23,17114375,0.269329424698,0.330872483221,0.391168926347
109,1989,CLE,6,604,654,162,73,1340,499,,5463,,127,221,26,9094500,0.245286472634,0.308453539081,0.365000915248
